
PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2001-1-1,57,49,41,49,44,39,100,81,58,30.23,30.17,30.12,8,6,4,7,3,,0.00,2,,127<br />
2001-1-2,59,49,39,47,43,38,96,78,58,30.37,30.30,30.23,9,6,4,8,3,,0.00,1,,130<br />
2001-1-3,57,50,42,51,45,41,100,85,64,30.43,30.36,30.30,7,5,2,8,2,,0.00,0,,99<br />
2001-1-4,57,50,42,50,45,40,100,83,62,30.29,30.23,30.16,8,6,5,8,4,,0.00,1,,42<br />
2001-1-5,59,50,42,49,44,39,100,82,49,30.19,30.12,30.04,8,6,3,15,5,,0.00,0,,55<br />
2001-1-6,55,47,39,49,45,37,97,84,55,30.10,30.04,30.01,9,5,2,8,3,,0.00,4,,269<br />
2001-1-7,57,50,43,51,45,39,100,86,51,30.03,29.92,29.80,10,4,2,15,3,18,0.08,6,Rain,87<br />
2001-1-8,55,52,48,52,48,44,100,87,72,30.01,29.92,29.80,10,8,2,24,12,34,0.36,5,Rain,251<br />
2001-1-9,52,48,45,49,46,43,97,88,77,30.04,29.98,29.95,10,10,7,15,9,,0.02,5,Rain,130<br />
2001-1-10,55,52,48,51,47,42,97,85,71,29.96,29.69,29.55,10,8,2,28,15,43,0.96,6,Rain,147<br />
2001-1-11,51,48,46,46,44,40,93,88,74,29.79,29.64,29.57,10,7,1,29,17,37,0.82,7,Rain,115<br />
2001-1-12,54,51,48,46,44,42,89,80,66,30.17,30.00,29.80,10,10,10,22,15,,0.01,5,Rain,313<br />
2001-1-13,54,51,48,47,44,41,93,77,62,30.30,30.26,30.18,10,10,10,15,8,,0.00,6,Rain,244<br />
2001-1-14,53,50,46,47,43,35,93,81,63,30.36,30.29,30.25,10,10,10,13,5,,0.00,4,,311<br />
2001-1-15,55,49,43,37,30,24,71,48,35,30.23,30.16,30.09,10,10,10,22,11,25,0.00,0,,304<br />
2001-1-16,53,48,42,35,27,21,63,45,37,30.30,30.21,30.17,10,10,10,17,12,,0.00,0,,321<br />
2001-1-17,55,46,37,44,30,16,93,57,24,30.43,30.36,30.31,10,10,10,12,5,,0.00,1,,196<br />
2001-1-18,53,46,39,48,42,38,97,84,66,30.36,30.32,30.29,10,10,8,9,4,,0.00,6,,55<br />
2001-1-19,54,50,46,46,41,36,86,72,51,30.32,30.26,30.18,10,8,6,8,4,,0.00,3,,55<br />
2001-1-20,53,48,42,47,43,38,96,86,71,30.22,30.19,30.17,8,4,2,8,4,,0.00,3,,51<br />
2001-1-21,54,46,39,48,42,37,97,83,62,30.23,30.17,30.14,6,4,3,8,4,,0.00,4,,119<br />
2001-1-22,57,48,39,50,44,37,96,84,67,30.14,30.11,30.06,10,7,3,8,4,,0.00,1,,159<br />
2001-1-23,55,52,48,53,48,45,96,88,80,30.07,29.99,29.93,10,8,2,18,8,29,0.20,7,Rain,139<br />
2001-1-24,54,50,45,45,43,41,96,81,66,30.26,30.13,30.01,10,10,4,18,9,22,0.20,6,Rain,246<br />
2001-1-25,52,47,42,48,43,41,100,89,66,30.26,30.12,30.01,10,8,2,36,9,44,0.91,7,Rain,141<br />
2001-1-26,52,47,42,44,42,39,100,83,71,30.06,29.99,29.93,10,9,4,16,8,18,0.24,6,Rain,149<br />
2001-1-27,55,46,37,46,40,36,100,77,47,30.00,29.95,29.91,10,10,8,15,7,,0.00,0,,276<br />
2001-1-28,53,46,39,47,41,34,93,77,52,30.22,30.12,30.00,10,10,10,10,5,,0.00,3,,147<br />
2001-1-29,55,50,45,48,44,40,97,80,66,30.36,30.30,30.21,10,10,7,16,8,,0.07,3,Rain,262<br />
2001-1-30,53,47,41,42,37,30,93,68,43,30.36,30.31,30.26,10,10,10,7,2,,0.00,2,,3<br />
2001-1-31,57,48,39,44,34,29,86,58,34,30.34,30.29,30.27,10,10,10,16,7,,0.00,0,,71<br />
2001-2-1,54,46,39,49,42,36,92,81,62,30.40,30.35,30.30,10,10,8,6,3,,0.00,3,,74<br />
